날짜,기업명,긍정,부정,중립,전체뉴스수,감성_긍정비율,감성_부정비율,tfidf_수주,tfidf_실적,tfidf_미국
2024-01-25,한국카본,2,1,0,3,0.6666664444445185,0.3333332222222592,0.0,0.0,0.0
2024-01-25,한화엔진,9,1,0,10,0.8999999100000091,0.099999990000001,0.0,0.0284652606174943,0.0
2024-01-25,한화오션,17,13,6,36,0.5666666477777784,0.4333333188888894,0.0280531264187347,0.0178709289500618,0.0
2024-01-26,HD한국조선해양,16,4,1,21,0.799999960000002,0.1999999900000005,0.0,0.0,0.0
2024-01-26,HD현대마린솔루션,1,3,2,6,0.2499999375000156,0.7499998125000469,0.0,0.0,0.0
2024-01-26,HD현대미포,5,1,2,8,0.8333331944444675,0.1666666388888935,0.0,0.0,0.0
2024-01-26,HD현대중공업,13,6,4,23,0.684210490304711,0.3157894570637127,0.0,0.0,0.0
2024-01-26,STX엔진,1,1,0,2,0.499999750000125,0.499999750000125,0.0,0.0,0.0
2024-01-26,삼성중공업,15,4,3,22,0.7894736426592819,0.2105263047091418,0.0,0.0,0.0
2024-01-26,세진중공업,1,2,0,3,0.3333332222222592,0.6666664444445185,0.0,0.0,0.0
2024-01-26,한국카본,3,4,2,9,0.4285713673469475,0.57142848979593,0.0,0.0,0.0
2024-01-26,한화엔진,6,2,1,9,0.7499999062500118,0.2499999687500039,0.0,0.0,0.0
2024-01-26,한화오션,24,2,4,30,0.9230768875739658,0.0769230739644971,0.0,0.0403733166345776,0.0
2024-01-27,HD한국조선해양,2,3,0,5,0.399999920000016,0.599999880000024,0.0444303253008511,0.0,0.0
